th ;kd_prd;kd_fk;kd_ptn ;dt ;jp;pg ;;;
2015;3611414;NULL;361;18;440;46;;;
2016;3611414;NULL;361;18;606;47,3;;;
2017;3611414;NULL;361;26;609;45;;;
2013;3611422;NULL;361;33;570;43;;;
2014;3611422;NULL;361;45;727;44;;;
2015;3611422;NULL;361;45;669;45;;;
2016;3611422;NULL;361;30;594;44;;;
2017;3611422;NULL;361;48;622;43,7;;;
2013;3611437;NULL;361;42;1292;52;;;
2014;3611437;NULL;361;40;1373;53;;;
2015;3611437;NULL;361;36;1116;52,5;;;
2016;3611437;NULL;361;36;1489;53;;;
2017;3611437;NULL;361;44;1546;42;;;
2013;3611445;NULL;361;30;525;41;;;
2014;3611445;NULL;361;35;668;42,61;;;
2015;3611445;NULL;361;30;526;42;;;
2016;3611445;NULL;361;27;463;42,61;;;
2017;3611445;NULL;361;36;640;43;;;
2013;3611453;NULL;361;30;961;40;;;
2014;3611453;NULL;361;35;1127;41;;;
2015;3611453;NULL;361;30;989;42;;;
2016;3611453;NULL;361;30;1236;39,66;;;
2017;3611453;NULL;361;40;1383;40,5;;;
2013;3611461;NULL;361;30;612;43;;;
2014;3611461;NULL;361;35;708;44;;;
2015;3611461;NULL;361;30;565;43;;;
2016;3611461;NULL;361;30;816;44,36;;;
2017;3611461;NULL;361;40;658;37,5;;;
2013;3821016;NULL;382;30;272;37;;;
2014;3821016;NULL;382;38;579;38,5;;;
2015;3821016;NULL;382;36;361;37;;;
2016;3821016;NULL;382;30;340;36,5;;;
2017;3821016;NULL;382;52;477;37;;;
2013;3821024;NULL;382;40;547;41;;;
2014;3821024;NULL;382;40;441;42,61;;;
2015;3821024;NULL;382;36;493;43;;;
2016;3821024;NULL;382;41;550;44;;;
2017;3821024;NULL;382;52;612;45;;;
2013;3821032;NULL;382;45;781;42;;;
2014;3821032;NULL;382;40;729;43,65;;;
2015;3821032;NULL;382;40;759;44;;;
2016;3821032;NULL;382;38;873;43,65;;;
2017;3821032;NULL;382;52;1047;44,5;;;
2013;3821047;NULL;382;36;577;45;;;
2014;3821047;NULL;382;36;467;44,3;;;
2015;3821047;NULL;382;40;586;45;;;
2016;3821047;NULL;382;37;439;44,6;;;
2017;3821047;NULL;382;48;556;45,5;;;
2013;3821055;NULL;382;25;457;41;;;
2014;3821055;NULL;382;29;524;40;;;
2015;3821055;NULL;382;32;644;41;;;
2016;3821055;NULL;382;28;444;41,5;;;
2017;3821055;NULL;382;36;524;42;;;
2013;3821063;NULL;382;60;1702;43;;;
2014;3821063;NULL;382;60;2068;44;;;
2015;3821063;NULL;382;60;1784;43,5;;;
2016;3821063;NULL;382;62;2035;44,2;;;
2017;3821063;NULL;382;90;2144;43,5;;;
2013;3821071;NULL;382;60;1170;54;;;
2014;3821071;NULL;382;60;1483;53;;;
2015;3821071;NULL;382;48;1199;54,4;;;
2016;3821071;NULL;382;48;1415;53;;;
2017;3821071;NULL;382;64;1551;54;;;
2013;3821086;NULL;382;54;1095;544;;;
2014;3821086;NULL;382;48;1111;53;;;
2015;3821086;NULL;382;51;956;54,5;;;
2016;3821086;NULL;382;51;965;54;;;
2017;3821086;NULL;382;64;1185;42;;;
2013;3821094;NULL;382;45;1 .074;47;;;
2014;3821094;NULL;382;36;11024;46,69;;;
2015;3821094;NULL;382;36;898;45;;;
2016;3821094;NULL;382;46;1038;46,2;;;
2017;3821094;NULL;382;60;957;46;;;
2013;3821105;NULL;382;60;1171;38;;;
2014;3821105;NULL;382;45;1356;37,83;;;
